question,answer,intent,state,crop
drum stick management of pod fly in drumstick,suggested to spray chlorantraniliprole 18.5 sc @ 3ml per litre water.,plant protection,kerala,drum stick
ginger seedling treatment in ginger,"treat seed rhizomes with fungicides like mancozeb or metalaxyl before storage and planting, and consider using bio-control agents like trichoderma or pseudomonas fluorescens.",cultural practices,karnataka,ginger
coconut management of buton drying in coconut,suggested to apply micronutrient mixture @ 100g per palm,nutrient management,kerala,coconut
paddy (dhan) alaklinity problem in paddy,recommended to apply 1 kg zinc sulphate per paddy nursery recommended to apply 20 kg zinc sulphate per acre,fertilizer use and availability,telangana,paddy (dhan)
"others contact information of agriculture research institute, polasa, jagityal","agriculture research institute, polasa, jagityal - ,",training and exposure visits,telangana,others
soybean (bhat) soybean sowing time :,soybean sowing time :june to july,sowing time and weather,telangana,soybean (bhat)
ash gourd (petha) sowing time of ash gourd,planting is done during july and january. plough the field 3 – 4 times. dig pits of 30 cm x 30 cm x 30 cm at a spacing 2 x 1.5 m and form basins.,seeds and planting material,telangana,ash gourd (petha)
others the uses of humic acid.,"humic acid buffers soil ph to 5.5 to 7.5 levels which is ideal for plant development and nutrients absorption. thus acting as a natural chelator, they help plant roots to absorb nutrients more efficiently to create long term positive effect on soil quality and productivity.",nutrient management,kerala,others
others pm kisan samman nidhi scheme new registration,recommended to visit website regularly registration number :tl121106699 ibbathwar shobabai,government schemes,telangana,others
beans nutrient management in beans,recommended to spray potassium nitrate 13-0-45 @ 5 grams +agrominimax @ 3 grams /1 liter of water,nutrient management,telangana,beans
others whether lightening is included in the weather based crop insurance scheme this year kerala state,suggested lightening is not included in the weather based crop insurance scheme this season kerala state,government schemes,kerala,others
others changing bank account in pm kisan samman nidhi,kindly complete aadhaar bank account seeding in new bank account.,government schemes,kerala,others
cowpea (vegetable) management of fusarium wilt in cowpea,recommended to remove and destroy affected plants. soil drench with carbendazim 50 wp @ 2 gram/litre of water.,plant protection,kerala,cowpea (vegetable)
fingermillet (ragi/mandika) sowing time of finger millet,sowing time of ragi:- long duration varities : june-july medium duration varities : july - august short duration (late kharif) : august,sowing time and weather,karnataka,fingermillet (ragi/mandika)
coconut irrigation requirement of coconut,"generally, an adult palm requires 40-50 litres of water per day.","water management, micro irrigation",kerala,coconut
cocoa organic nutrient management in cocoa,suggested to apply farm yard manure @ 40g per plant or fresh vermicompost @ 20g per plant in two equal split doses in april-may and september - october. apply wood ash @ 1kg per plant.,nutrient management,kerala,cocoa
arecanut management of button fall in arecanut,suggested to apply 500 gram lime per palm. after 2 weeks apply 30 gram borax per palm.,nutrient management,kerala,arecanut
bengal gram (gram/chick pea/kabuli/chana) compatibility tebuconazole + trifloxystrobin and boron ?,better to avoid mixing of tebuconazole + trifloxystrobin and boron for good results,plant protection,telangana,bengal gram (gram/chick pea/kabuli/chana)
rubber management of powdery mildew in rubber,suggested to spray carbendazim 50 wp (1 gram/litre of water),plant protection,kerala,rubber
others information 16th installment of pm kisan,date of 16th installment of pm kisan was not yet announced,government schemes,telangana,others
arecanut the management of planting in arecanut.,pits of size 60 x 60 x 60 cm are made for planting. the recommended spacing is 2.7 x 2.7m with north-south alignment. the rows should be deflected at an angle of 35 degree towards west. the pits are filled up with organic manure @ 12 kg/plant along with top soil. the seedlings are planted at the center of the pit. the soil is covered up to the collar level and pressed intact.,cultural practices,kerala,arecanut
brinjal pyriproxyfen 5% + diafenthiuron 25% se is an insecticide uses?,"recommended to spray slr 525 insecticide-(pyriproxifen 5% +difenthuron 25% se)- crops -all crops,cotton - whitefly, thrips, aphids, jassids, diamond black moth. dosage - 500 ml/acre.",plant protection,telangana,brinjal
others nutrient management of rambutan plant,recommended to apply 18:18:18 npk mixture @ 250g/ plant . also apply organic manure @5kg/ plant,nutrient management,kerala,others
pigeon pea (red gram/arhar/tur) icpv 25444 red gram variety details,"in a significant advancement for indian agriculture, scientists at the international crops research institute for the semi-arid tropics (icrisat) have developed icpv 25444—a first-of-its-kind pigeonpea cultivar that can withstand high summer temperatures and mature in just 125 days. this heat-tolerant, photo- and thermo-insensitive cultivar has been successfully tested in karnataka, odisha, and telangana states in india, demonstrating yields of 2 tons per hectare. crucially, it represents a breakthrough in pigeonpea cultivation, enabling the crop to be grown not only during the traditional rainy (kharif) season but also in the extreme heat of summer, where temperatures reach up to 45°c.",seeds,telangana,pigeon pea (red gram/arhar/tur)
pigeon pea (red gram/arhar/tur) nutrient management to increase flowering in pigeon pea,suggested to spray pulse booster (micronutrients) @ 10 ml per litre of water,nutrient management,karnataka,pigeon pea (red gram/arhar/tur)
others crops grown in rabi season,"the major rabi crop in india is wheat, followed by barley, mustard, sesame and peas. peas are harvested early, as they are ready early: indian markets are flooded with green peas from january to march, peaking in february. many crops are cultivated in both kharif and rabi seasons.",credit,telangana,others
banana application of fermented oil cakes in banana,dilute the mixture with 10 times water before applying,organic farming,kerala,banana
chillies chilli badiga market information?,"min price modal price max price andhra pradesh guntur chilli badiga 6,000 14,000 24,001",market information,andhra pradesh,chillies
coconut nutrient management in one yr old coconut tree,"suggested to apply organic manure @ 25 kg/plant every year. open the coconut basin and apply lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.the first split has to be applied in april-june. the dosage is 160g urea, 250g rajphos, 330g potash per palm respectively. the second dose has to apply in september-october and the dosage is 160 g urea, 250 g rajphos, 330g potash per palm respectively.",nutrient management,kerala,coconut
others pm kisan 19th installmenent issue ?,--for more details c ontact your mao,government schemes,telangana,others
groundnut (pea nut/mung phalli) information on nutrient management in ground nut,as there is only 8 days for harvesting recommended not to spray any nutrients,nutrient management,telangana,groundnut (pea nut/mung phalli)
paddy (dhan) exibition in rajendra nagar,there is no proper information regarding this,plant protection,andhra pradesh,paddy (dhan)
tomato pin worm in tomato,recommended to spray flubendiamide (fame) 40 ml /200 litres of water / acre,plant protection,telangana,tomato
chillies what is the use of intrepid insecticide?,"recommended to use intrepid twig borer, leafrollers, loopers, armyworms and citrus leafminer,mite",plant protection,telangana,chillies
coconut the management of mahali in coconut,"suggetsed to spray copper oxychloride 50 wp (3 gram/litre of water) on bunches and crown during monsoon and subsequently twice at 40 days interval along with stickers as prophylatic measure in disease prone area. collect and destroy the fallen nuts. in severely affected diseased garden, metalaxyl + mancozeb 80 wp or fosetyl - al (2 gram/litre of water) at 10-14 days interval.",plant protection,kerala,coconut
paddy (dhan) nano urea +council activ herbicide compatability,recommended to nano urea can be easily applied with most of the 100 % wsf's; bio stimulants or pesticides but is always recommended to go for jar test before mixing and spraying.,weed management,andhra pradesh,paddy (dhan)
banana the management of banana pseudostem weevil,spray or quinalphos 25 ec (1.5 ml/litre of water) with nozzle directed to the leaf axils and bore holes.,plant protection,kerala,banana
cotton (kapas) qury market information of cotton ?,"andhra pradesh adoni cotton 3,970 7,179 8,169",market information,andhra pradesh,cotton (kapas)
maize (makka) maize post emergence weed management ? 60 days,recommended to hand weeding is the best method,weed management,andhra pradesh,maize (makka)
paddy (dhan) maize monkey damage management ;-,"ricinoleic acid (neelbo animal repellent) mix 500ml of the formulation with 2.5 litres of water in a bucket. thoroughly soak the recommended jute/coir rope in the mixture. wait 30 minutes before tying the rope on the perimeter of the field. for bison and blue bulls, tie the rope at a height of 3 feet above the ground.",cultural practices,telangana,paddy (dhan)
arecanut management of immature nut drops in arecanut,suggested to apply borax @ 50g per palm.,nutrient management,kerala,arecanut
ginger fungicide treatment of ginger rhizome,treat the ginger rhizomes with metalaxyl + mancozeb 8+64 wp @ 2 gram / litre of water for 30 minutes.,plant protection,kerala,ginger
acid lime protection from birds attack in lime,make artificial noise in the field to protect the field from birds,plant protection,telangana,acid lime
sorghum (jowar/great millet) stem borer management in sorghum ?,recommended to apply carbofuran 3g granules 4 kgs/acre,plant protection,telangana,sorghum (jowar/great millet)
"others contact number of district agricultural farm, peringamala","district agricultural farm peringamala phone no: 0472-2846488,",training and exposure visits,kerala,others
oil palm crops suitable for inter cropping in oilpalm,"banana, turmeric, pulses and vegetable crops are suitable for intercropping in oilpalm",cultural practices,telangana,oil palm
"others weather detailes of mankada,malappuram",suggested that there no chance of rainfall today,water management,kerala,others
jasmine management of white flies in jasmine,suggested to spray dimethoate 2 ml per liter of water,plant protection,kerala,jasmine
drum stick requirement of planofix for management of flower drop in drumstick,suggested to spray planofix @2 ml per litre water during flowering time.,cultural practices,kerala,drum stick
marine telangana fisheries contact number information,"-- sri.. k.vardha reddy district fisheries officer integrated district offices complex, siddipet mobile:",fish marketing,telangana,marine
cotton (kapas) cotton leaf spot management ;-,recommended to spray copper oxy chloride 600 gm /200 litres of water / acre,plant protection,telangana,cotton (kapas)
paddy (dhan) contact information of iny=ternational rice,"rice research centre, ari, rajendranagar -",government schemes,telangana,paddy (dhan)
ivy gourd growth promoter application in ivy gourd,suggested to give fish amino acid 5ml per liters of water.,nutrient management,kerala,ivy gourd
pepper the megnesium deficiency in pepper.,foliar spray of mgso4 1% at fortnightly intervals.,nutrient management,kerala,pepper
cowpea (vegetable) re-application of fungicide in management of downy mildew in cowpea,spray mancozeb 75 wp (3 gram/litre of water) again if symptoms persists or re-appear,plant protection,kerala,cowpea (vegetable)
mango powdery mildew management in mango,recommended to spray hexaconazole (contaf) 400 ml /200 litres of water / acre recommended to spray myclobutanil ( index ) 150gm /200 liters of water /acre,plant protection,andhra pradesh,mango
tomato bacterial leaf spot management in tomato,query:bacterial leaf spot management in tomato answer:use 6 gm of streptomycin sulphate 90% + tetracycline hydrochloride 10% sp in 60 l of water,plant protection,tamilnadu,tomato
"cotton (kapas) helicoverpa,borer,boll worm management in cotton","recommended to spray larvin 300 gms/acre crop rotation should be done deep ploughing trap crops should be planed phermamone traps erected etc.,",plant protection,andhra pradesh,cotton (kapas)
maize (makka) maize weed management; -,recommended to spray atrazine 800 grams/200 litres of water per acre (or) recommended to spray pendimethalin 30% 1 litre /200 litres of water/ acre (or) recommended to spray alachlor 1 litre / 200 litres of water per acre,weed management,telangana,maize (makka)
tomato tomato and brinjal nursery root rot management ;-,recommended to drench copper oxy chloride 3 grams / 1 litre of water,plant protection,telangana,tomato
paddy (dhan) uses of marino gold chemical,"aries agro has manufactured marino gold liquid biostimulants products to stimulate plant growth through enlargement, and elongation of plant cells.",plant protection,telangana,paddy (dhan)
ridge gourd powdery mildew in ridge gourd,--recommended to spray difenoconazole (score) 100 ml /200 litres of water /acre,plant protection,telangana,ridge gourd
nutmeg the nutrient management in nutmeg of more than 15 years,"suggested that when tree attains an age of 15 years it require 50kg of organic manure.nutmeg requires heavy manuring.application of poultry manure,vermicompost,neemcake,bonemeal is also beneficial",nutrient management,kerala,nutmeg
cashew cashew root grub management,recommended to dreanching chlorpyrifos 500 ml /200 liter of water,plant protection,telangana,cashew
others wild pig repellent making,ecodon (wild pig repellent) : usage: mix 500ml ecodon in 40 litres of water to make a solution. dip a jute or cotton rope into this solution and tie it around the farm or garden. spray plain water onto this rope once in a week in order to retain moisture. wild pigs and rodents will run away unable to withstand the smell of ecodon solution.,credit,telangana,others
chillies can we mix dhanuka dhanzyme (growth promoter) + neem oil,recommended to no need we can spray separately,nutrient management,telangana,chillies
watermelon fertilizer management in watermelon crop,fertilizer management in watermelon crop-60-70 kg dap +25 kg urea +50 kg mop per acre,fertilizer use and availability,telangana,watermelon
groundnut (pea nut/mung phalli) ground nut market information,"min price modal price max price andhra pradesh kurnool ground nut 3,340 5,242 6,520",market information,andhra pradesh,groundnut (pea nut/mung phalli)
paddy (dhan) government scheme paddy harvester,"r ganesh. davangere. joint director. 08192-295651 jd-dvangere@karnatakaindustry.gov.in jddicdvg@gmail.com. plot no. 76-a (p1), ... 1 page",post harvest preservation,karnataka,paddy (dhan)
passion fruit the increase in fruit prodoductoin.,suggested to spray 3g of pottassium nitrate in 1l of water.,plant protection,kerala,passion fruit
chillies the wilt disease in chilli.,soil drenching with copper oxychloride 50 wp (2 gram/litre of water) or copper hydroxide 77 wp (1 gram/litre of water) is also effective.,plant protection,kerala,chillies
others binny mill (f&v) 26/09/2024 sweet pumpkin 110 800 1000,--binny mill (f&v) 26/09/2024 sweet pumpkin 110 800 1000,market information,karnataka,others
cotton (kapas) cotton sowing season in rayalaseema,sowing season in rayalaseema hingari -august to sep,sowing time and weather,andhra pradesh,cotton (kapas)
banana management of b deficiency in banana,suggested to spray borax 1g per liters of water,nutrient management,kerala,banana
curry leaf nutrient management in curry leaf?,recommended to spray fromula-4 600 gms/acre 3 gms/1ltr of water,nutrient management,andhra pradesh,curry leaf
others contact number of dharwad agriculture college,"--0836 221 4420 university of agricultural sciences, sports arena, dharwad, primary phone",government schemes,karnataka,others
others pm kisan 20th installment expected date,pm kisan next installment expected to release in end of the july month,government schemes,telangana,others
others contact of ao kb koppam and smam,"ao kb koppam or 0466 2265253, and smam, palakkad-",training and exposure visits,kerala,others
arecanut mangement of rootgrub in arecanut,suggested to drench soil with chlorantraniliprole(coragen) 3 ml per 10 liter of water.,plant protection,kerala,arecanut
green gram (moong bean/ moong) sowing time of green gram crop -,sowing time of green gram crop -febuary to march 15,sowing time and weather,telangana,green gram (moong bean/ moong)
paddy (dhan) red spider mite management in paddy,recommended to spray spiromesifen (oberon) 200ml /200 litres of water per acre,plant protection,telangana,paddy (dhan)
others price detail of bhindi(ladies finger) in warangal mandi.,24/01/2023 mandi : warangal commodity : bhindi(ladies finger) (modal price): 5250/quintal,market information,telangana,others
horse gram (kulthi/kultha) market price of horse gram.,market market date variety minimum price maximum price bengaluru 04/12/2024 horse gram (whole) 6500 7200,market information,karnataka,horse gram (kulthi/kultha)
ber non bearing of litchi,suggested to spray potassium nitrate 5g/litre of water,nutrient management,kerala,ber
pomegranate nutrient management in pomegranated,neem cake - 2 kg 0:52:34 mono potassium phosphate water soluble fertilizer - 5 g /litre,nursery management,karnataka,pomegranate
watermelon seed rate of watermelon?,recommended seed rate-500 to 600 grams/acre.,seeds and planting material,telangana,watermelon
sugarcane (noble cane) intercrops spacing in sugarcane crop ?,agronomic practices adopted for raising different intercrops with sugarcane is planted in furrows 90 cm apart keeping one-three budded setts @ 30 cm row length.,cultural practices,telangana,sugarcane (noble cane)
tomato typhi and omite can mix together,suggetsed to do jar test before mixing,plant protection,andhra pradesh,tomato
cardamom dosage of 19:19:19 npk for cardamon,suggested to spray npk @ 5 g per liter of water,nutrient management,kerala,cardamom
others contact number for smam,"assistant executive engineer (agri), ernakulam- smam, kerala- ,",agriculture mechanization,kerala,others
maize (makka) maize sheath rot management ;-,recommended to spray propiconazole 200 ml / 200 litres of water /acre,plant protection,telangana,maize (makka)
others pm kisan new account opening in post office,it is suggested to open new account at near post office,government schemes,kerala,others
others the application of organic manure.,suggested to apply sampoorna fertilizer 7days afer the application of insecticide.,organic farming,kerala,others
pomegranate not fruiting in pomegranate,suggested to apply ash in pomegranate,nutrient management,kerala,pomegranate
others position of graft union while planting fruit trees,suggested to keep the graft union above the ground surface while planting grafted plants,cultural practices,kerala,others
paddy (dhan) paddy fine seed varities information,"kunnaram rice ( knm - 733) - - fine variety telangana vari -3 ( jgl- 21078) - fine variety rnr - 21278 fine variety anjana [ jgl - 11118] , shithal [ wgl ] = 283",seeds,telangana,paddy (dhan)
chillies sucking pest managementin chili crop,"decide dhanuka - etofenprox 6% + diafenthiuron 25% wg 500 grams acre/200 liters of water (tocontrol mites,white flies thrips)",plant protection,telangana,chillies
paddy (dhan) dosage of coragen insecticide in paddy,"coragen insecticide- chlorantraniliprole 18.5 % w/w padd-stem borer, leaf folder dosage / acre (ml) dilution in water (l/acre) dosage (ml) / of water 60 200 0.3",plant protection,karnataka,paddy (dhan)
others sowing time of green gram?,june to july 15th is right time for sowing of green gram,cultural practices,telangana,others
chillies chilli insect pest management?,application of jolon 400 ml per 200 lit water,plant protection,telangana,chillies
cucumber the management of wilting in cucumber,suggested to wait till the effect of chemical sprayed show,plant protection,kerala,cucumber
rose the keeping of rose in rain water.,suggested that heavy rain cause damage to rose.,plant protection,kerala,rose
chillies chillies sucking pest maangeemnt ;-,recommended to spray imidacloprid 60 ml /200 litres of water / acre,plant protection,telangana,chillies
black gram (urd bean) plant protection in black gram.,recommended to spray:- chlorpyriphos @ 2 ml/ltr of water.,plant protection,karnataka,black gram (urd bean)
groundnut (pea nut/mung phalli) weed management in groundnut sown after 15-20 days crop,recommended to spray -odysee ( imazethapyr 35% + imazamox 35% wg) dosage: 40 gm /acre,weed management,telangana,groundnut (pea nut/mung phalli)
chillies fruit rot management in chilli?,recommended to spray adama-zamir 400 ml/acre 2 ml/1 ltr of water,plant protection,andhra pradesh,chillies
paddy (dhan) annadatha sukhibava status issue,10 west godavari rajesh 11 eluru surekha,government schemes,andhra pradesh,paddy (dhan)
brinjal white fly management in brinjal,recommended to spray acephate (arthine) 300 gms/acre 1.5 gms/1 ltr of water,plant protection,andhra pradesh,brinjal
banana fertilizer requirement in local banana varieties,"apply 200g urea, 500g rajphos and 300g potash per plant. also apply 10kg organic manure per plant",nutrient management,kerala,banana
banana management of rhizome rot in banana(tissue cultured),suggested to drench soil with antibiotics like streptomycin / streptocycline 500 ppm (5 gram/10 litre of water).,plant protection,kerala,banana
cotton (kapas) usage of chamatkar in coton,"recommended dosage ;mepiquat chloride 5% cotton (250 ml/acre), time of spray at the start of flowering phase or when there is too much vegetative growth",cultural practices,telangana,cotton (kapas)
guava tea mosqiuto bug pest management in guava ?,recommended to spray quinalphos 25 ec at the rate of 2 ml/lit or malathion 50 ec at the rate of 1 ml/lit of water.,plant protection,karnataka,guava
groundnut (pea nut/mung phalli) ground nut crown rot management,recommended to spray (hexaconazole 400 ml / 150 litres of water /acre,plant protection,telangana,groundnut (pea nut/mung phalli)
chillies chillies sowing season and varieties,"suggest him to sow in july varieties-bhagya lakshmi, sindhur",plant protection,andhra pradesh,chillies
paddy (dhan) fertilizer requirement in paddy jyothi variety second application for 35 cent,"for 35 cent , it is suggested to apply 14kg urea & 5.6kg muriate of potash",nutrient management,kerala,paddy (dhan)
chillies fertiizer management in chili crop,fertiizer management in chili crop -60 kg urea +20 kg mop per acre,fertilizer use and availability,telangana,chillies
tomato plant protection in tomato crop,"recommended to spray emamectin benzoate 5 % sg 5 g/10 lit for feeders. after 4to 5 days spray micronutrients/vegetable special (zinc. boron, magnesium etc) -dissolve @ 3g per litre of water",plant protection,karnataka,tomato
garlic disease management in garlic.,recommended to spray copper oxy chloride 3g/litre +streptocyclin @ 0.5g/litre.,plant protection,karnataka,garlic
sesame (gingelly/til)/sesamum sesame seed germination time;-,"germinate plants indoors by planting seeds ¼” deep in a rich growing medium. kept moist, plants will emerge in 10-14 days",cultural practices,telangana,sesame (gingelly/til)/sesamum
others kisan call center job,given necessary information. candidate should have completed b.sc agriculture,government schemes,karnataka,others
eculeptous eculeptous nutrient management ;-,application of water firest then nutrient apply recommended to spray 19-19-19 @ 5 grams/1 liter of water,cultural practices,telangana,eculeptous
paddy (dhan) paddy fertilizer schedule control management ?,"recommended to apply 20.20.0.13- 50 kg acre , 2 nd time urea-50 kg ,potash 13-kg acre",fertilizer use and availability,telangana,paddy (dhan)
paddy (dhan) paddy root rot management ';-,recommended to drench copper oxy chloride 3 grams / litres of water,plant protection,telangana,paddy (dhan)
chillies tobacco caterpillar management in chilli?,recommended to spray quinolphos (ekalux ) 400 ml/acre 2 ml/1 ltr of water,plant protection,andhra pradesh,chillies
others fertilizer application time interval,"it is suggested to apply fertilizer in two equal splits during may-june & september- october ,and suggested to apply fertilizer in two times during september - october due to non availability of fertilizer one time",nutrient management,kerala,others
sesame (gingelly/til)/sesamum market information of sesame crop?,minimum price - 8444 /- rs/ quintal maximum price - 10111 /- rs/ quintal average price - 9819 /- rs/ quintal,market information,telangana,sesame (gingelly/til)/sesamum
ginger prophylactic management of fungal disease in ginger,suggested to dip rhizomes in carbendazim solution containing1 gram per liter of water,plant protection,kerala,ginger
others not crediting 15th installmment of pm kisan samman nidhi scheme,suggested to complete e-kyc process through nearest csc or akshaya centre,government schemes,kerala,others
pepper weather in peravoor kannur district,suggested that there is low chance of rainfall today,weather,kerala,pepper
rose the application of compost in rose plant.,"apply compost into the top two inches of soil so that it can feed the roots. the best times of year to add compost around your rose are spring and fall. roses prefer a rich loamy soil that drains well. they do not like to have their root systems in soggy wet soil, but cannot be allowed to dry out either.",nutrient management,kerala,rose
paddy (dhan) management of brown plant hopper (bph) in paddy.,--management of brown plant hopper (bph) in paddy: recommended to spray triflumezopyrim 10% sc @ 0.5ml/lit of water.,plant protection,karnataka,paddy (dhan)
others sowing time of papaya ?,"papaya is planted during spring (february-march), monsoon (june-july) and autumn (october-november). a spacing of 1.8 x 1.8 m. is normally followed. however higher density cultivation with spacing of 1.5 x 1.5 m./ha enhances the returns to the farmer and is recommended.",cultural practices,telangana,others
others release of 16th installment of pm kisan samman nidhi scheme,suggested that there is no official announcement regarding16th installment of pm kisan scheme.,government schemes,kerala,others
coconut application of dried leaves in coconut basin,suggested to apply dried leaves along with adequate amount of neem cake,nutrient management,kerala,coconut
bengal gram (gram/chick pea/kabuli/chana) dosage of chloripyriphos 50 ec information,recommended dosage of chloripyriphos 50 ec is 250-300ml / 200 litres of water / acre,plant protection,telangana,bengal gram (gram/chick pea/kabuli/chana)
bhindi(okra/ladysfinger) the management of jassid or leaf hopper in bhindi.,spray neem garlic emulsion (20 ml neem oil + 20 gram garlic paste + 5 gram bar soap/litre of water). spray lecanicillium lecanii (synonym verticillium lecanii ) (20 gram/litre of water). spray dimethoate 30 ec (1.5 ml/litre of water),plant protection,kerala,bhindi(okra/ladysfinger)
cabbage different types of red cabbage varieties,different types of red cabbage varieties: ‘ruby ball’ variety is compact and probably the most flavorful red cabbage. ‘mammoth red rock’ variety is large and stores well. ‘scarlet o’hara’ is a japanese hybrid. ‘ruby perfection’ red cabbage variety noted for its beauty. ‘lasso’ and ‘red acre’ varieties are two open-pollinated red cabbages.,cultural practices,telangana,cabbage
ash gourd (petha) nutrient application in ash gourd,recommended to apply 19-19-19 @ 5 kg per acre through drip irrigation,nutrient management,telangana,ash gourd (petha)
bengal gram (gram/chick pea/kabuli/chana) pod borer pest management in bengal gram ?,spray any one of the following insecticides per lit.water a)quinalphos 25 ec. - 2.0 ml. b)phosalone 35 ec. - 2.0 ml.,plant protection,karnataka,bengal gram (gram/chick pea/kabuli/chana)
maize (makka) maize sowinmg season ?,recommended to sowing season - june 15-july 15,sowing time and weather,andhra pradesh,maize (makka)
banana quantity of spray fluid required for the management of fusarium wilt of banana,nearly 300litres of water is required for 1500 plants,cultural practices,kerala,banana
banana field preparation in nendran banana,the best planting time is april-may and august-september. while selecting planting time periods of heavy monsoon and severe summer months should be avoided.prepare the field by ploughing or digging. pits of size of 50 cm x 50 cm x 50 cm are made for planting. the pits are filled with top soil and organic manure @ 10 kg/pit.the suckers are planted upright in the centre of pits with 5 cm pseudostem remaining above soil level. the soil around the suckers is pressed to avoid hollow air spaces.,field preparation,kerala,banana
lucerne (alfalfa) weed management in fodder crop,--advised not to use herbicides in fodder crop,weed management,telangana,lucerne (alfalfa)
maize (makka) how to decompose maize stubble ?,recommended to apply single super phosphate-100 kg per acre,cultural practices,telangana,maize (makka)
groundnut (pea nut/mung phalli) sucking pest and caterpiller in groundnut management,recommended to spray thiamethoxam (12.6%) + lambdacyhalothrin (alika) syngenta 80ml/200 liter of water/ acre,plant protection,telangana,groundnut (pea nut/mung phalli)
paddy (dhan) stem borer adult management in paddy,recommended to spray neem oil erecting light traps,plant protection,andhra pradesh,paddy (dhan)
jasmine sucking pest management in jasmine,recommended to spray thiamethoxam (actara/crulser) 40 grams /200 litres of water / acre,plant protection,telangana,jasmine
watermelon sucking pest management in water melon crop,recommended to spray fipronil +imidacloprid (police) 100 grams/200 litres of water /acre,plant protection,telangana,watermelon
cardamom the management of cardamom-fertilizer information,"the first split has to be applied in may-june. the urea, rock phosphate, muriate of potash needed at this time is 325 gram, 830 gram, 500 gram respectively for a cent. the second dose has to apply in september-october and the dosage is 330 gram urea, 830 gram rock phosphate, 500 gram muriate of potash respectively. lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. organic manure @ 50 kg/cent is recommended in every year.",nutrient management,kerala,cardamom
others pm fasal bhima yojana,"oriental general insurance company 1800-425-6678 for arecanut, hdfc ergo insurance company : 1800-266-0700",government schemes,karnataka,others
others solar subsidy for agricultural purpose,"mnre provides cfa up to 7.5 hp swp. solar water pumpset . the solar pumps with capacity above 7.5 hp may also be installed, however mnre cfa is limited up to 7.5 hp capacity only. funding pattern as per pm-kusum, component-b guidelines is that, mnre provides 30% of benchmark cost or tendered cost whichever is lower. gok has to provide state financial assistance of 30% and the beneficiary contribution is 40%. if state contributes more than 30% then the beneficiary share will reduce accordingly.",government schemes,karnataka,others
green gram (moong bean/ moong) market prices for greengram / ?????????/green gram (whole) / ?????????,gadag 21/08/2024 green gram (whole) 2009 8469,market information,karnataka,green gram (moong bean/ moong)
pepper nutrient management in blackpeper.,suggested to apply 280 g 18: 18: 18 fertilizer 100g potash per blackpepper plant per year during april-june and september-october.,nutrient management,kerala,pepper
maize (makka) disease and pest management in maize,recommeneded to spray emamectin benzoate (proclaim) 90 grams + carbendazim +mancozeb (saaf) 400gm in 200 liter water per acre,plant protection,telangana,maize (makka)
jasmine root rot management in jasmine,question : root rot management in jasmine answer : soil drenching copper oxy chloride 2 .5 gram in 1 liter of water.,plant protection,andhra pradesh,jasmine
jasmine management of drying of flower bud in jasmine,it is suggested to spray mancozeb 3gram with quinalphos 1.5ml per one litre of water,plant protection,kerala,jasmine
others related pm kisan samman nidhi scheme,suggested that payment status: 9th installment- waiting for approval by state registration no: kl281625884,government schemes,kerala,others
cotton (kapas) market price of cotton.maize,district name market name commodity variety min price (rs./quintal) max price (rs./quintal) modal price (rs./quintal) price date cotton karimnagar jammikunta cotton cotton (unginned) 7400 7550 7500 07 apr 2025 khammam khammam cotton cotton (unginned) 6000 7300 7000 07 apr 2025 no. district name market name commodity variety grade min price (rs./quintal) max price (rs./quintal) modal price (rs./quintal) price date maize 1 khammam bhadrachalam maize deshi red 2225 2225 2225 05 apr 2025 2 khammam yellandu maize deshi red 2300 2300 2300 05 apr 2025,market information,telangana,cotton (kapas)
turmeric can we mix insecticides with nutrient chemicals in turmeric crop,no donot mix insecticides with nutrient chemicals in turmeric crop,plant protection,telangana,turmeric
horse gram (kulthi/kultha) nutrient management in horsegram,given necessary information and suggested to sow the seeds separately,nutrient management,karnataka,horse gram (kulthi/kultha)
others pm kisan 17th installment date,pm kisan 17th installment date was not yet announced,government schemes,telangana,others
arecanut market price of arecanut / ?????/rashi / ???? ?,market market date arrivals minimum price maximum price modal price bhadravathi 30/10/2024 259 44199 50189 48626 channagiri 29/10/2024 2547 44000 51000 48971 chitradurga 29/10/2024 15 48639 49069 48889,market information,karnataka,arecanut
banana fertilizer application in nendran banana after bunch emergence,spray 30g per litre of water after complete flower bud opening and second spray after two weeks of first spraying(3%),nutrient management,kerala,banana
others vegetable crops suitable for rabi season,"vegetable crops suitable for rabi season are chilli, cabbage and beet root",cultural practices,telangana,others
others 18th installment release date of pm kisan samman nidhi,suggested that there is no official aanouncement about 18th installment of pm kisan samman nidhi,government schemes,kerala,others
onion thrips and borer management in onion,"recommended to spray thiamethoxam (12.6%) + lambda cyhalothrin (alika) 80 ml/200 liter of water/ acre-tea mosquito bug, chilli: thrips, borer",plant protection,andhra pradesh,onion
groundnut (pea nut/mung phalli) helicoverpa management in groundnut,recommended to spray emamectin benzoate (proclaim) 90 gms/acre,plant protection,andhra pradesh,groundnut (pea nut/mung phalli)
jasmine jasmine water management ?,irrigation irrigation should be given immediately after planting followed by weekly irrigation depending upon weather conditions.,"water management, micro irrigation",andhra pradesh,jasmine
