question,answer,intent,state,crop
asking the time of transplantation for onion seeding.,onion seedling can be transfer after 56 days old.,unknown,unknown,unknown
some variety of cabbage.,"advised him to select golden acre,pride of india,pusa mukta etc.",unknown,unknown,unknown
blight control measure in potato.,spray endophil m 45 @ 2gm/liter of water to control blight in tomato.,unknown,unknown,unknown
control measure of leaf curling of chilli,spray 'rogor' @ 2 ml per litre of water,unknown,unknown,unknown
the fertilize dose for french bean.,"advised him to apply 8 kg urea,33 kg ssp,14 kg mop & 3 qtl compost at the time of land preparation.",unknown,unknown,unknown
preventive measure of blight in potato,spray indofil m 45 @ 2 ml/ltr of water at monthly interval to prevent blight in potato,unknown,unknown,unknown
control measure of root rot in french bean,apply bavistin/blitox-50 @ 2 gram per litre of water,unknown,unknown,unknown
query about management of aphids in beans,i suggested him to spray either malathion or deltamethrin @2ml/lt of water,unknown,unknown,unknown
fertilizer requirement for bottle gourd,"apply 14kg urea, 32kg ssp and 10kg mop",unknown,unknown,unknown
fungal wilting in potato,advice him to spray bavistin @ 2ml/1litrs of water,unknown,unknown,unknown
fertilizer dose of french bean,"advice to apply urea 8 kg, ssp 33 kg, mop 14 kg / bigha",unknown,unknown,unknown
asking for control of stem rot,recommended him to drench the soil with streptomycin @ 1 gram per 10 litre of water,unknown,unknown,unknown
government seed supply of potato,contact district agricultural office,unknown,unknown,unknown
asking for control of flower dropping problem,recommended him to spray amistar @ 1 ml per litre of water,unknown,unknown,unknown
the micronutrients in beans,advice him to spray tracel 2 @ 2gm/1litres of water,unknown,unknown,unknown
asking for fert dose of potato,"recommended him to apply urea 12 kg, dap 15 kg and mop 11 kg per bigha",unknown,unknown,unknown
control measure of powdery mildew of brinjal,spray 'blitox 50' @ 1 gm per 5 litres of water,unknown,unknown,unknown
nutrient management in beans.,spray tracel @ 2 gm /liter of water as a nutrient suppliment in beans . rajib das 9706988827,unknown,unknown,unknown
asking for vet expert,do as the doctor adviced you,unknown,unknown,unknown
control of leaf curl in tomato,advice to apply maxima @2ml/l of water,unknown,unknown,unknown
problem of aphids in brinjal.,advised him to apply rogor 35 ec @ 2 ml / litre of water.,unknown,unknown,unknown
the use of green harvest all crops.,advised him to apply green harvest all crops @ 2 gm / litre of water.,unknown,unknown,unknown
plant protection in potaato,advice him to spray endophil m 45 @ 2gm per litres of water,unknown,unknown,unknown
control measure of fungal wilt of potato,spray ‘bavistin’ @ 2 gm per litre of water,unknown,unknown,unknown
root rot of chilly,advised to spray bavistin @ 2 gram / litre water,unknown,unknown,unknown
micro-nutrient requirement of chilli,spray 'tracel' @ 2 gm per litre of water,unknown,unknown,unknown
the seed rate of ridge gourd,recommended him the seed rate of ridge gourd as 600 gm per bigha,unknown,unknown,unknown
blite disease in potato,advice him to spray ridomil m z 72 @ 2gm per litres of water,unknown,unknown,unknown
the control measure of stem bleeding in cocout tree.,chisel affected tissue and dress the wound with 5% calixin (5 ml in 100 ml of water). apply coal tar after 2 days. burn off chiselled pieces.,unknown,unknown,unknown
the control of beetle,spray tricel @ 2ml/litres of water,unknown,unknown,unknown
the nuutrient management in coconut,"apply urea @ 750 gram, ssp @ 1250 gram ,mop @ 850 gram and borax @25 gram /plant in ring system away from 1.5 mitres from root z",unknown,unknown,unknown
the control of blight of potato,spray indofil-m45 @2gram/litres of water,unknown,unknown,unknown
asking control of fruit rot in chilli,spray amistar @ 1 ml per litre of water,unknown,unknown,unknown
nutrient suppliment in brinjal.,spray tracel @ 2 gm/liter of water as nutrient supplient in brinjal,unknown,unknown,unknown
micro-nutrient requirement of potato,spray 'potato special' @ 2 gm per litre of water,unknown,unknown,unknown
control measure of downy mildew of bean,spray 'bavistin' @ 2 gm per litre of water,unknown,unknown,unknown
the message given by technical deppt.,suggest him to delete if not required,unknown,unknown,unknown
control measures of fruit borrer in lab lab,recommended to spray ekalux @ 2 ml per litr of water,unknown,unknown,unknown
asking abou leaf rot in frenchbeans,advice him to spray rogor35 ec @ 2ml per litres of water,unknown,unknown,unknown
control of cut worms in cabbage,advice to apply classic 220 @ 2ml/l of water,unknown,unknown,unknown
control of black rot in cauliflower,spray streptomycin @ 1 gm per 10 liter of water,unknown,unknown,unknown
fertilizer dose for french bean,"apply 'urea 8 kg, 33 kg, mop 14 kg' per bigha",unknown,unknown,unknown
control measure of flower dropping of bean,spray 'amister' @ 1 ml per litre of water,unknown,unknown,unknown
the control measure of black leg in cauliflower.,spray copper oxychloride @ 0.25@1ml/lt of water or captan or thiram also at intervals of 15 days.,unknown,unknown,unknown
the recommended fertilizer dose for ashgourd,"suggested that recommended fertilizer dose is like-urea@14 kilogram/bigha,ssp@32 kilogram/bigha,mop@10 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting",unknown,unknown,unknown
fungal wilt problem in brinjal,soil drenching with bavistin @ 1gm per litre of water,unknown,unknown,unknown
the blight of tomato,spray indofil m-45 @ 2gram/litres of water,unknown,unknown,unknown
control measure of blight of cucumber,spray 'redomil mz 72' @ 2 gm per litre of water,unknown,unknown,unknown
asking control of leaf hopper attack in boro rice,spray ekalux @ 3 ml per litre of water,unknown,unknown,unknown
control measures of late blight,advice to spray indofil m 45 @ 2 gm/l water,unknown,unknown,unknown
asking for the control of fruit borer in brinjal,recommended to spray fluton @ 1.5 ml per liter of water,unknown,unknown,unknown
the treatment of  poks around  the eye.,administer tetracycline pow @ 1 gm per litre of water and ambliplex syrup @ 1 ml per litre of water daily .,unknown,unknown,unknown
control of spillting of knol khol,apply borax @ 1 kg per bigha,unknown,unknown,unknown
fungal disease in potato,advice him to spary bavistin @ 2gm per litres of water,unknown,unknown,unknown
the loan for a dairy farm.,"contact the br. manager, to his nearest nationalised bank.",unknown,unknown,unknown
asking where to avail paddy seeds,"advised to contact with krishi vigyan kendra,karimganj",unknown,unknown,unknown
the vitamin for potato,advised him to spray multiplex potato special @ 2gm/litre of water,unknown,unknown,unknown
control of crown chocking in coconut,apply borax @ 50 gm per plant around the plant,unknown,unknown,unknown
asked about blight disease..and how to control,advised him to apply endofil@ 2gm per litre,unknown,unknown,unknown
control measures of funagl wilt in tomato,recommended to spray capraf @ 2 gm per litr of water,unknown,unknown,unknown
white fly,advised to spray malathion 50 ec @ 2 ml/ litre water,unknown,unknown,unknown
control of flower drop in lemon,spray amistar @ 1 ml per liter of water,unknown,unknown,unknown
query about the reddening of leaves and management of grubs in coconut,"i told him to apply urea, mop, ssp@500,200 and 200g/tree and malathion 5 d @10g/tree",unknown,unknown,unknown
stunted growth,give 1. fentas 1.5 g bolus @ 1 bolus in the empty stomach 2. liv 52 vet @ 50 ml twice daily fot 7 days,unknown,unknown,unknown
oxygen depletion in fish pond,use oxyflow,unknown,unknown,unknown
pregnancy diagnosis,advice to go for pragnancy diagnosis by rectal pulpation after 3 months of a.i with the help of a veterinarian,unknown,unknown,unknown
control measure of fungal wilt of tomato,spray ‘saaf’ @ 2 gm per litre of water,unknown,unknown,unknown
the control measure to control fungal wilt disease in tomato,spray bavistin @2gram/liter of water,unknown,unknown,unknown
control of blight in tomato,advice to apply indofil m45 @ 2gm/l of water,unknown,unknown,unknown
the control measure against fruit borer in bhindi(okra),advised him to spray malathion 50 ec @ 2 ml./litre of water.,unknown,unknown,unknown
the control measure of fungicide for cucumber.,spray carbensazim@2gm/lt of water .micro nutrient-ethrel @2.5 gm/10 lt of water.,unknown,unknown,unknown
asking for the control of cracking of fruits in pomegranate,spray multiplex boron @ 2 gm per liter of water,unknown,unknown,unknown
anoetrous in cow.,inject tonophospen injection @ 10 ml at every alternate day.,unknown,unknown,unknown
the training on beans cultivation,"advised him to contact kvk, karimganj",unknown,unknown,unknown
for good growth,advice to apply urea @ 6 kg/bigha,unknown,unknown,unknown
gandhi pest problem in rice,apply malathion 5% powder @ 3kg per bigha,unknown,unknown,unknown
tractor scheme,advice to contact with ado.,unknown,unknown,unknown
water quality management of fish pond,apply 'lime' @ 5 kg per bigha of water area,unknown,unknown,unknown
control of immature fruit drop in mango,"spray 2,4 d @ 10 mili gram per liter of water",unknown,unknown,unknown
vaccination schedule in cow.,explain in details about vaccination schedule in cow.,unknown,unknown,unknown
control measures of root rot,advice to spray blitox 50 @ 1 ml/l water,unknown,unknown,unknown
application of vitamin in banana,recommeded to tracel 2 @ 2 gm per litr of water,unknown,unknown,unknown
control mesures of fruit necrosis,advice to apply borax @ 100gm/plant,unknown,unknown,unknown
control measure of fruit fly of papaya,spray 'malathion 50 ec' @ 2 ml per litre of water,unknown,unknown,unknown
nutrition,give 1. ambiplex @ 40 ml twice daily for 7 days,unknown,unknown,unknown
control  of potato tuber moth in potato storage,stored the potato with neem leaves,unknown,unknown,unknown
asking for control of leaf eating caterpillar,recommended him to spray pactus @ 2 gram per 10 litre of water,unknown,unknown,unknown
control of carp fry death,apply potash @ 2ppm level,unknown,unknown,unknown
the control of catter piller,spray malathion 50 ec 2 2ml/litres of water,unknown,unknown,unknown
stop the sms,to stop sms write sms kisaan stop and then send it to 51969,unknown,unknown,unknown
asking where to avail rice seed variety,"contact with krishi vigyan kendra,karimganj for rice variety",unknown,unknown,unknown
control of caterpiller in paddy,spray ekalux @ 2 ml per liter of water,unknown,unknown,unknown
time of application of insecticides in cucumber,suggested time of application of insecticides as morning/evening,unknown,unknown,unknown
spacing,advice to spacing 8 feet,unknown,unknown,unknown
calcium suppliment and mineral suppliment in cow.,administer ostovet @ 50 ml twice daily. along with that administer agrimin forte @ 25 gm once daily.,unknown,unknown,unknown
the language problem regarding sms sent by dd kisaan,change his sms laguage from english to bengali,unknown,unknown,unknown
top dressing in sali paddy,apply urea @ 3 kg per bigha as top dressing after 30 das,unknown,unknown,unknown
arecanut plantation time,suggested not to go for plantation at the moment as continuous rain occurring in assam state and has been late . select 1.5 years old samplings,unknown,unknown,unknown
complaining against sms,sms kisaan stop to 51969,unknown,unknown,unknown
the varieties of sali paddy.,"the suitable varieties are ranjit, bahadur, ttb-404, ttb-403 , mahsuri etc.",unknown,unknown,unknown
for stopping of sms from dac.,advised him to send a sms as kissan stop to 51969,unknown,unknown,unknown
asking to stop kisaan sms,to send'  sms kisaan stop' in 51969,unknown,unknown,unknown
to stop sms sending from us,sms kisaan stop to 51969,unknown,unknown,unknown
pest control in cowpea,spray rogor 35ec @ 2ml/l of water,unknown,unknown,unknown
asking to stop kisan sms,to send sms kisaan stop in 51969 number,unknown,unknown,unknown
control measure of blast of sali rice,spray ‘bavistin’ @ 2 gm per litre of water,unknown,unknown,unknown
problem of blast in rice.,advised him to apply bavistin @ 1 gm / litre of water.,unknown,unknown,unknown
asking control of leaf miner attack in seedling bed nursery of paddy,spray tricel 20 ec @ 1 ml per litre of water to control leaf miner in seedling bed nursery of paddy,unknown,unknown,unknown
query reagrding government schemes,information given - contact sbi general insurance,unknown,unknown,unknown
"query about ai of a hf cow, which has aborted yesterday after 3 months pregnancy","advised, to go for uterine treatment, then only go for ai",unknown,unknown,unknown
duration of arise 6444,150 days,unknown,unknown,unknown
the control mesaure against stem borer infestation in sali paddy seedling.,advised him to spray tricel-20 or classic-20 @ 2 ml./litre of water and mix 5 gm. gur to it.,unknown,unknown,unknown
query for control measures for fruit fly population in bottle gourd.,have told him to spray malathion 50 ec @ 2ml/lit. of water 3 times after every week of spraying.,unknown,unknown,unknown
grafting time for mango,advice to grafting of mango in april-august,unknown,unknown,unknown
automatisc sms,your free sms service has been activated,unknown,unknown,unknown
mineral suppliment in cow.,administer agrimin forte @ 25 gm once daily.,unknown,unknown,unknown
asking recommended fertilizer dose of paddy,"apply urea @ 18 kg,ssp @17 kg,mop @9 kg per bigha",unknown,unknown,unknown
control measure of fungal wilt of bottle gourd,spray ‘bavistin’ @ 2 gm per litre of water,unknown,unknown,unknown
application of fertilizer in banana,"recommended to apply 250 gm urea , 200 gm ssp and 80 gm mop per plant",unknown,unknown,unknown
seeking a rice reaper machine on govts. subsidy scheme,advised to visit dist. agril. office,unknown,unknown,unknown
querry regarding pest in okra,recommended to spray malathion 50ec@2ml/l water,unknown,unknown,unknown
the control measure against downy mildew in bottle gourd.,advised him to spray bavistin @ 2 gm./litre of water.,unknown,unknown,unknown
want to know regarding blast of rice,advice to spray bavistin @ 2 gram/lit of water,unknown,unknown,unknown
rice stem borer,spray ‘classic 20’ @ 2 ml per litre of water,unknown,unknown,unknown
agricultural insurance scheme,advice to contact with nearest branch of  agricultural insurance company,unknown,unknown,unknown
querry regarding blast in sali paddy,recommended to spray bavistin @2gm/bigha 3 times at 5 days interval,unknown,unknown,unknown
query about timing of giving ai for a hf cow,"advised, give ai 12 hrs after showing full heat symptom",unknown,unknown,unknown
the government schemes available for flood affected areas.,advised him to contact with the district agricultural officer for this purpose.,unknown,unknown,unknown
the control measure to control immature fruit drop problem in coconut at the age of 5 years.,"=suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",unknown,unknown,unknown
feed for carp,feed with mixture of rice bran and oilcake @ 1:1 along with agrimin fort @ 1gm per kg of feed,unknown,unknown,unknown
the control measure against phytopthora infestation in betel vine.,advised him to prepare bodeaux mixture solution and spray @ 2 ml./litre of water.,unknown,unknown,unknown
liming in pond,advice him to apply lime @ 5 kg/bighas of water spread area,unknown,unknown,unknown
"the fertilizer dose for coconut tree
 ( 8 years old).","advised him to apply urea 750 gm, ssp 1200 gm, mop 450 gm, compost 10 kg, borax 50 gm ./ per plant during september/october in a ring prepared at a distance of 1 metre away from the base of the plant. again apply same amount of fertilizer dose during march/april also.",unknown,unknown,unknown
the leaf folder infestation in rice,suggest him to apply tricel @2ml/lt of water,unknown,unknown,unknown
the amount of urea and mop to be top dressed during panicle initiation stage.,"advised him to apply urea 4 kg, mop 2 kg per bigha at the time of panicle initiation stage.",unknown,unknown,unknown
the procedure to avail kisan credit card.,advised him to contact with the district agriculture office.,unknown,unknown,unknown
want to know regarding pest attack in paddy,advice to spray chloropyriphos 20ec @ 2ml/lit of water,unknown,unknown,unknown
fertilizer dose of 1year old coconut plant,"suggested fertilizer dsoe as urea-150gm,ssp-250gm,mop-175gm,borax-25gm,compost-5kg.apply as ring method 50cm from the base of the plant",unknown,unknown,unknown
the lime dose for fish pond,advised him to apply lime @ 8kg/ bigha water area per month,unknown,unknown,unknown
application of fertlizer in arecanut,"recommneded to apply 150 gm urea , 200 gm ssp , 100 gm mop and 30 gm borax @ per plant",unknown,unknown,unknown
asking for fertilizer requirement in 25  year old coconut tree,advised to apply 750 gram urea 1.250 kg super 800 gram potash and 25 gram borax as directed,unknown,unknown,unknown
the control measure against phytopthora leaf rot disease in betel vine.,advised him to prepare bodeaux mixture solution and spray @ 2 ml./litre of water.,unknown,unknown,unknown
the spellimg of pruning in flowers,spelling has been smsed,unknown,unknown,unknown
asked about carp disease,advised him to apply toximer /kmno4,unknown,unknown,unknown
want to know regarding bug pest in rice,advice to spray malathion 50ec @ 2ml/lit of water,unknown,unknown,unknown
wanted to know the procedure of kcc loan,"contact with nearest nationalized bank, agriculture field officer/marketing and recovery officer located in his area.",unknown,unknown,unknown
querry regarding rainfall(mm) prediction,"rainfall(mm) in karimganj is expected to be 6,0,0,0,0 and 0 in the coming 5 days that is from 25 to 29 the of september",unknown,unknown,unknown
querry regarding micronutrient in chillie,recommended to apply micronutrient that is crop booster @2gm/l water 3 days at 5 day interval,unknown,unknown,unknown
want to increase the producyion in coconut,advice to spray tracel 2 @ 2 ml/lit of water,unknown,unknown,unknown
the control of rice hispa infestation,suggest him to spray malathion 50 ec @ 2ml/litter of water,unknown,unknown,unknown
want to know about paddy variety after flood,cultivate andrew sali and manuhor sali paddy variety after flood,unknown,unknown,unknown
want to know regarding gandhi bug attack in rice,advice to spray malathion 50 ec @ 2 ml/lit of water,unknown,unknown,unknown
the variety name of cabbage,"as pride of india, pusa mukta",unknown,unknown,unknown
gandhi bug in saali paddy,advice him to spray chloropyriphose @ 2ml/litres of water,unknown,unknown,unknown
the fertilizer dose for non bearing mango plant.,"advised him to apply 10-15 kg compost,150 gm urea,120 gm ssp & 100 gm mop in 2 split doses i,e march april & september october in ring method.",unknown,unknown,unknown
asking fertilizer dose of potato,"recommended him to apply 6 kg urea, 29 kg ssp and 22 kg mop per bigha with 2 ton compost/dried cowdung",unknown,unknown,unknown
training and exposure visit,advice him to consult with krishi vigyan kendra (kvk)in your district for better information,unknown,unknown,unknown
the spacing of onion.,advised him to take spacing for onion is 20 cm row to row & 10 cm plant to plant.,unknown,unknown,unknown
asked about manuring practices in cocunut.,"manuring

	50 kg gobar 1.23 kg urea 2 kg super 1 kg potash
apply manures and fertilizers in circular basins of 1.8 m from the base of the palm, incorporate and irrigate. the fertilizers may applied in two split doses, in june – july and in december to january.

bio-fertilizer recommendation

mix 50 g of azospirillum, 50 g of phosphobacteria  ( or ) 100 g azophos and  50 g of vam in sufficient quantity of compost or fym and apply near feeding roots once in 6 months / palm starting from planting. don’t mix biofertilizers with chemical fertilizers and pesticides.",unknown,unknown,unknown
the nutrient management of mango,suggest him to apply 75 gm urea 60 gm ssp and 50 gm mop and rootexm hormone,unknown,unknown,unknown
wanted to register in kcc and start potato farming,did registration and advice on potato cultivation,unknown,unknown,unknown
want to know regarding application of cowdung in the field,advice to apply dried cowdung @ 5 to 6 qntl per bigha of land,unknown,unknown,unknown
dissolve oxygen,advice him to apply oxy flow tablet @ 4/bighas,unknown,unknown,unknown
control of caterpiller in cauliflower,spray rogor @ 2 ml per liter of water,unknown,unknown,unknown
querry regarding bacterial leaf spot in betelvine,recommended to spray bacterinol @2ml/l water and bordeaux mixture 4-8 times a day at 15 days interval,unknown,unknown,unknown
querry regarding fruit falling in papaya,"recommended to apply urea @ 100gm,ssp @200gm, mop @ 150gm and borux @50gm",unknown,unknown,unknown
want to know regarding rotting in betel vine,advice to spray bordeaux mixture (copper sulfate+ lime),unknown,unknown,unknown
control measures of fruit drop problem,"advice to apply urea =750 gm,ssp=1250 gm,mop=650 gm ,borax =50 gm/plant two times in a year.",unknown,unknown,unknown
fish death after netting,advised to apply potash,unknown,unknown,unknown
excess turbidity of fish pond,advised to apply alum and lime @ 1:5 ratio,unknown,unknown,unknown
the methods used in propagation of litchi,to propagate through air layering,unknown,unknown,unknown
want to know regarding pest attack in cowpea,advice to spray malathion 50 ec @ 2 ml/lit of water,unknown,unknown,unknown
the control of aphids,advised him to apply rogor @ 2ml / litre of water,unknown,unknown,unknown
rot in betelvine,advised to apply bordeux mixture 20 ml/lit,unknown,unknown,unknown
the nutrient management of cauliflower.,"suggest him to apply 36 kg urea,50 kg ssp and 13 kg mop/bigha",unknown,unknown,unknown
asking for registration at kisan call centre,done registration and id number is-as15274901,unknown,unknown,unknown
"the fertilizer dose for coconut tree. 
(10 years old ).","advised him to apply urea 750 gm, ssp 1200 gm, mop 600 gm, borax 25 gm, compost 10 kg per plant in a ring prepared at a distance of 1 metre away from the base of the plant. again apply same amount during march/april also.",unknown,unknown,unknown
white ant of coconut,advised to apply diethote 30ec 1ml/lit,unknown,unknown,unknown
damping off of cabbage,advised to apply ridomil gold @ 2ml/lit,unknown,unknown,unknown
control of oxygen deficiency in pond,advised him to apply o2 max @ 150 gm / bigha water area,unknown,unknown,unknown
asking whom to contact to avail pumpset on subsidy rate,contact with agriculture development officer or village level extension worker to avail pumpset on subsidy rate,unknown,unknown,unknown
the control measure to control panama disease in banana (variety-malbhog),advised to spray bavistin @ 2 gram / liter water.,unknown,unknown,unknown
control measure of eus disease,apply cifax @ 100 ml/bigha of water spread area,unknown,unknown,unknown
the nursery management of onion,suggest him to sow the seeds in the nursery,unknown,unknown,unknown
organic management of pest,advised to spray neem leaf extract,unknown,unknown,unknown
tell me about rainfall,no rainfall in next 5 days,unknown,unknown,unknown
the variety name of marigold flower,suggest him to use inca variety.,unknown,unknown,unknown
the procedure to obtain soil health card.,advised him to contact with the district agriculture office.,unknown,unknown,unknown
antracnose of chilly,advised to apply amister @ 2ml/lit,unknown,unknown,unknown
the benefit of vitamin solution in bottle gourd.,advised him to spray tracel-2 @ 2 gm./litre of water.,unknown,unknown,unknown
micro nutrient requirment in bottle gourd,spray tracel 2 @ 2 gm per liter of water,unknown,unknown,unknown
query  regarding rot of french bean,advised to apply bevistin @ 2gm/lit,unknown,unknown,unknown
fertilizer dose of fertilizer,advised to apply urea-ssp-mop @ 1-1.5-1 kg/plant and borax 50 gm,unknown,unknown,unknown
asking for cultural pratices in marigold,tipping or removal of terminal should be done after 30days of transplantation. foliar spray of feso4 (iron sulfate) 0.5% + znso4 (zinc sulfate) 0.5% on 30th and 45th day after transplanting.,unknown,unknown,unknown
the control of blight in chillies,advice to spray mancozeb @ 2 gram / liter of water,unknown,unknown,unknown
the baranching in marigold,suggest him to remove flowering bud to improve baranching.,unknown,unknown,unknown
the fertilizer doses forb bean,"to apply urea-15kg, ssp-30kg, mop-12kg per bigha",unknown,unknown,unknown
the control of blight disease in tomato,to spray indofil m 45 @ 2gm/liter of water,unknown,unknown,unknown
control of fruit rot in jack fruit,spray indofil m 45 @ 2 gm per liter of water during initial fruiting stage,unknown,unknown,unknown
the ussd service.,suggest him to subscribe *491*103#,unknown,unknown,unknown
problem of fungal wilt in french bean.,advised him to apply bavistin @ 1 gm / litre of water.,unknown,unknown,unknown
the control of insect problem,to use gerlic paste,unknown,unknown,unknown
cut worm of potato,advised to apply malathion dust @ 3 kg/lit,unknown,unknown,unknown
phompsis blight of blight,advised to apply kaavach or score @ 2gm /lit,unknown,unknown,unknown
vermicomost,advised to make a take of 5 to 6 ft of height and lenth and breath according to convinence,unknown,unknown,unknown
blight of bitter gourd,advised to apply saff or bevistin @ 2gm/lit of water,unknown,unknown,unknown
marigold varrietes,"advised to grow golden glow , pot of gold , glitor ,bapigold , gunie",unknown,unknown,unknown
querry regarding falling of flower in early stage,recommended to spray borux @ 2gm/l water and mhaphal @ 2ml/l water at 20 interval,unknown,unknown,unknown
onion fertilizer dose,advised to apply urea-ssp-mop @ 19-35-10 kg/lit,unknown,unknown,unknown
tomato fertilizer dose,advised to apply urea-ssp-mop @ 20-40-10 kg/bigha,unknown,unknown,unknown
the vitamin used in pear,suggest him to apply agromin @ 2gm/litre,unknown,unknown,unknown
wilt of tomato,advised to apply plantomycin @ 1ml /10lit,unknown,unknown,unknown
the varieties name of tomato,"to use pussa, arka abha, punjab suhara",unknown,unknown,unknown
the control measure against fruit rot in pomegranate .,advised him to spray bavistin @ 2 gm./litre of water.,unknown,unknown,unknown
the fertilizer dose of orange (10 years old).,"advised him to apply urea 600 gm, ssp 1.5 kg, mop 500 gm per plant during march/april at the base portion of the canopy area.",unknown,unknown,unknown
the control of bacterial wilt in potato,to spray steptomycine @ 1gm/ 10 liter of water.,unknown,unknown,unknown
feeding and watering space requirement for cattle,advice- feeding and watering space requirement for cattle-60 to70 cm per animal,unknown,unknown,unknown
the control measure against bacterial wilt in tomato.,advised him to drench the soil with streptomycin or agrimycin @ 1 gm. in 10 litres of water.,unknown,unknown,unknown
want to know regarding  blight disease in tomato,advice to spray indofil m-45 @ 2 g/lit of water,unknown,unknown,unknown
querry regarding wilting in brinjal,recommended to spray bavistin @ 2gm/l water at 6 days interval,unknown,unknown,unknown
control of late blight attack in tomato,apply antracol @ 2 gram per litre of water,unknown,unknown,unknown
querry regarding ussd subscribtion,recommended to dial *491*103# to avail the facility,unknown,unknown,unknown
querry regarding leaf curl in tomato,recomended to spray bavistin @ 2gm/l water at 6 days interval,unknown,unknown,unknown
the cultural practices of bhendi or okra.,"advised him to select varieties like arka anamika, prabhani krani, pusa sawani, etc. and treat the seeds with captan or captaf @ 2 gm./kg. of seeds. apply urea 6 kg, ssp 30 kg, mop 5 kg at the time of last land preparation. after 30 days again top dress urea @ 6 kg.",unknown,unknown,unknown
querry regarding spacing and fertilizer dose of bhindi,"recommended spacing is 30cm x 15cm (row to row and plant to plant)
fertilizer dose is urea @ 6kg , ssp @ 8kg and mop @ 8 kg per bigha",unknown,unknown,unknown
the nutrient management of bhindi,"suggest him to apply 6 kg urea,40 kg ssp and 10 kg mop/bigha as basal dose.",unknown,unknown,unknown
the fertilizer doses for beans,"to apply urea-15kg, ssp-35kg, mop-10kg per bigha",unknown,unknown,unknown
aphid problem,advised to spray rogor @2ml/lit,unknown,unknown,unknown
vitamin application,recommended to spray mahaphal @ 2ml/l water at 20 days interval,unknown,unknown,unknown
crops included under pradhan mantri fasal bima yojana,"crops inculded under pradhan mantri fasal bima yojana-foods and oilseed crops(all cereals,millets,oilseeds,pulses)for kharif and rabi season,annual commercial/annual horticultural crops(kharif/rabi)",unknown,unknown,unknown
query about dairy farming,"explain in details regarding breed, management, feeding ,production etc",unknown,unknown,unknown
kissan credit card,advised to apply for kissan credit card at your nearest bank,unknown,unknown,unknown
the micronutrient used in bhindi,suggest him to apply tracel 2 @ 2gm/litre of water.,unknown,unknown,unknown
planting distance for ber,advised to plant ber by maintaining a minimum distance of 3.5 m row to rpw & plant to plant,unknown,unknown,unknown
rice stem borer,advised to apply tricel-20 or classic-20 @ 2ml/lit,unknown,unknown,unknown
iron toxicity,"advised to apply apply additional k, phosphorus, and magnesium fertilizers and apply  about 100-200 kg mno2 ha-1 in the topsoil to decrease fe3+ reduction",unknown,unknown,unknown
pest infestation in brinjal,recommended to spray malathion 20 ec @ 2ml/l water at 6 days interval,unknown,unknown,unknown
the control measure against aphids infestation in ridge gourd.,advised him to spray malathion 50 ec @ 2 ml./litre of water.,unknown,unknown,unknown
aphid attack in brinjal,recommended to spray rogor @ 2ml/l water at 6 days interval,unknown,unknown,unknown
micro-nutrient application,recommended to apply borax @ 50 gm per plant,unknown,unknown,unknown
the aeather report,"coming 5days weather may be cloudy, humid with medium rain till 8:
30 morning is predicted on 20th, 21st, 22nd, 23rd, and 24th april ‘2016
respectively. the maximum temp predicted is 28.0oc and minimum of 21.0oc.
the expected morning and evening rh will be in between 95% & 63%,
respectively. mostly easterly wind with a speed of 6-8 kmph is expected.",unknown,unknown,unknown
crop insurance,recommended to approach grameen vikash bank,unknown,unknown,unknown
the control measure against shoot borer infestation in brinjal .,advised him to spray dimecron or nuvacron @ 2 ml./litre of water.,unknown,unknown,unknown
the control of leaf curl disease in chillies,to spray rogor @ 2ml/liter of water,unknown,unknown,unknown
the control measure against downy mildew in ridge gourd.,advised him to spray bavistin @ 2 gm./litre of water.,unknown,unknown,unknown
the banana corm treatment,suggest him to dip the corm in a bucket containing mud and then put furadone on it,unknown,unknown,unknown
the control of rotting in ridgegourd,suggest him to apply bavistin @ 2gm/litre of water.,unknown,unknown,unknown
problem of fungal wilt in brinjal.,advised him to apply bavistin @ 2 gm / litre of water.,unknown,unknown,unknown
ulceration in the mouth,wash the mouth with tr iodine & a course of an antibiotic & steroid,unknown,unknown,unknown
control of borer in dolichos bean,spray rocket @ 2 ml per liter of water,unknown,unknown,unknown
the control of leaf curling in chilli,suggest him to apply rogor 35 ec @ 2ml/litre of water.,unknown,unknown,unknown
contact detail of karimganj rars,"regional agricultural research station ( rars)   
assam agricultural university, akbarpur
p. o. & dist. karimganj, assam, india
ph:- 091-03843-273197.
dr. b. u. chaudhary, 
icar complex-ne region.
distt. karimganj-788710	m: 9612252086
dr. mohan kumar sarma kvk
karimganj aau, district-karimganj,
assam -788710
mob:9435489156

dr. akhil kr. deka, kvk karbi anglong,
aau, district- karbi anglong, assam-
782460 
m:9435067519",unknown,unknown,unknown
asking to know about decrease milk production,calcium supplement should be increase in diet,unknown,unknown,unknown
